path;vus;p50_ms;p95_ms;p99_ms;rps;gateway_mib;fpm_mib
legacy;1;19.60;21.10;21.79;51;109.3;14.4
rescue;1;1.40;2.47;3.57;601;111.2;13.4
proxy;1;22.09;24.72;27.78;44;111.4;18.5
shield;1;1.56;2.68;3.86;554;111.2;17.6
legacy;2;20.24;21.60;22.22;98;110.8;19.2
rescue;2;1.44;2.94;4.14;1138;111.7;18.1
proxy;2;23.26;26.29;29.50;84;111.7;23.7
shield;2;1.72;2.92;4.42;1012;111.7;21.7
legacy;4;20.99;23.03;24.03;189;109.6;27.4
rescue;4;2.81;5.46;7.65;1248;111.9;30.1
proxy;4;23.83;26.27;28.52;166;112.1;27.9
shield;4;3.25;5.57;7.29;1103;112.0;25.9
legacy;8;20.12;22.48;24.35;390;110.9;48.9
rescue;8;10.34;20.59;27.09;700;112.4;46.8
proxy;8;44.25;47.79;62.44;179;110.2;40.8
shield;8;9.98;19.22;25.36;727;110.2;38.5
legacy;16;20.69;24.33;27.65;750;108.5;82.7
rescue;16;29.16;64.20;85.96;487;110.6;80.6
proxy;16;89.04;94.86;103.30;178;111.4;78.3
shield;16;26.81;58.33;76.17;542;110.8;76.2
legacy;32;23.42;32.03;39.69;1299;108.3;157.8
rescue;32;66.28;152.41;194.43;428;112.6;155.9
proxy;32;177.77;183.41;190.55;179;112.7;150.0
shield;32;60.31;135.10;183.31;474;113.1;148.0
legacy;64;36.01;70.33;99.97;1577;111.9;280.1
rescue;64;147.72;345.82;456.50;382;117.1;277.8
proxy;64;352.51;370.36;376.15;180;117.8;271.2
shield;64;130.04;305.97;426.42;437;117.8;269.4
