path;vus;p50_ms;p95_ms;p99_ms;rps;gateway_mib;fpm_mib
legacy;1;19.62;20.87;21.51;51;129.8;18.7
rescue;1;1.42;2.38;3.42;603;131.9;17.6
shield;1;2.02;3.43;5.02;423;132.2;13.5
proxy;1;22.81;24.48;31.05;43;132.9;18.9
legacy;4;20.99;23.36;26.06;188;131.1;27.3
rescue;4;3.24;6.22;8.06;1089;135.5;26.0
shield;4;4.68;8.02;11.63;757;134.8;24.1
proxy;4;24.89;30.11;39.69;156;135.3;28.4
legacy;16;19.76;22.50;26.34;788;133.6;82.5
rescue;16;25.17;55.33;76.52;569;138.8;80.7
shield;16;29.08;62.19;84.35;497;139.4;64.2
proxy;16;28.91;40.13;53.31;522;141.3;78.9
legacy;32;24.22;33.93;43.29;1246;139.0;153.6
rescue;32;72.41;163.83;215.03;396;142.1;151.7
shield;32;66.13;149.52;199.86;435;142.4;148.1
proxy;32;47.95;64.08;92.23;637;144.8;149.6
legacy;64;34.85;67.50;91.83;1639;141.2;279.6
rescue;64;141.51;337.40;437.26;402;148.8;277.4
shield;64;152.75;352.81;449.82;378;149.7;257.2
proxy;64;111.43;278.92;400.40;464;150.3;224.8
