epoch,heap_bytes,heap_real_bytes,peak_bytes,peak_real_bytes
1788946604,990264,2097152,1073736,2097152
1788946606,855976,2097152,1066112,2097152
1788946608,855976,2097152,1066112,2097152
1788946610,855976,2097152,1066112,2097152
1788946612,990272,2097152,1073736,2097152
1788946614,990272,2097152,1073736,2097152
1788946616,855976,2097152,1066112,2097152
1788946618,990272,2097152,1073736,2097152
1788946620,855976,2097152,1066112,2097152
1788946622,990272,2097152,1073736,2097152
1788946624,990272,2097152,1073736,2097152
1788946626,990272,2097152,1073736,2097152
1788946628,990272,2097152,1073736,2097152
1788946630,990272,2097152,1073736,2097152
1788946632,990272,2097152,1073736,2097152
1788946634,990272,2097152,1073736,2097152
1788946636,855976,2097152,1066112,2097152
1788946638,855976,2097152,1066112,2097152
1788946640,990272,2097152,1073736,2097152
1788946642,855976,2097152,1066112,2097152
1788946644,990272,2097152,1073736,2097152
1788946646,855976,2097152,1066112,2097152
1788946648,990272,2097152,1073736,2097152
1788946650,990272,2097152,1073736,2097152
1788946652,990272,2097152,1073736,2097152
1788946654,990272,2097152,1073736,2097152
1788946657,990272,2097152,1073736,2097152
1788946659,990272,2097152,1073736,2097152
1788946661,855264,2097152,1066112,2097152
1788946663,855264,2097152,1066112,2097152
1788946665,855264,2097152,1066112,2097152
1788946667,990272,2097152,1073736,2097152
1788946669,990272,2097152,1073736,2097152
1788946671,990272,2097152,1073736,2097152
1788946673,990272,2097152,1073736,2097152
1788946675,990272,2097152,1073736,2097152
1788946677,990272,2097152,1073736,2097152
1788946679,990272,2097152,1073736,2097152
1788946681,990272,2097152,1073736,2097152
1788946683,990272,2097152,1073736,2097152
1788946685,990272,2097152,1073736,2097152
1788946687,990272,2097152,1073736,2097152
1788946689,990272,2097152,1073736,2097152
1788946691,855264,2097152,1066112,2097152
1788946693,855264,2097152,1066112,2097152
1788946695,855264,2097152,1066112,2097152
1788946697,990272,2097152,1073736,2097152
1788946699,855264,2097152,1066112,2097152
1788946701,990272,2097152,1073736,2097152
1788946703,990272,2097152,1073736,2097152
1788946705,990272,2097152,1073736,2097152
1788946707,990272,2097152,1073736,2097152
1788946710,990272,2097152,1073736,2097152
1788946712,855264,2097152,1066112,2097152
1788946714,990272,2097152,1073736,2097152
1788946716,855264,2097152,1066112,2097152
1788946718,990272,2097152,1073736,2097152
1788946720,855264,2097152,1066112,2097152
1788946722,990272,2097152,1073736,2097152
1788946724,990272,2097152,1073736,2097152
1788946726,855264,2097152,1066112,2097152
1788946728,990272,2097152,1073736,2097152
1788946730,990272,2097152,1073736,2097152
1788946732,990272,2097152,1073736,2097152
1788946734,990272,2097152,1073736,2097152
1788946736,855264,2097152,1066112,2097152
1788946738,990272,2097152,1073736,2097152
1788946740,855264,2097152,1066112,2097152
1788946742,990272,2097152,1073736,2097152
1788946744,990272,2097152,1073736,2097152
1788946746,855264,2097152,1066112,2097152
1788946748,855264,2097152,1066112,2097152
1788946751,990272,2097152,1073736,2097152
1788946753,855264,2097152,1066112,2097152
1788946755,990272,2097152,1073736,2097152
1788946757,855264,2097152,1066112,2097152
1788946759,990272,2097152,1073736,2097152
1788946761,990272,2097152,1073736,2097152
1788946763,855264,2097152,1066112,2097152
1788946765,990272,2097152,1073736,2097152
1788946767,855264,2097152,1066112,2097152
1788946769,855264,2097152,1066112,2097152
1788946771,990272,2097152,1073736,2097152
1788946773,990272,2097152,1073736,2097152
1788946775,855264,2097152,1066112,2097152
1788946777,990272,2097152,1073736,2097152
1788946779,855264,2097152,1066112,2097152
1788946781,990272,2097152,1073736,2097152
1788946783,990272,2097152,1073736,2097152
1788946785,990272,2097152,1073736,2097152
1788946787,855264,2097152,1066112,2097152
1788946789,990272,2097152,1073736,2097152
1788946791,990272,2097152,1073736,2097152
1788946793,990272,2097152,1073736,2097152
1788946795,990272,2097152,1073736,2097152
1788946797,990272,2097152,1073736,2097152
1788946799,990272,2097152,1073736,2097152
1788946801,990272,2097152,1073736,2097152
1788946804,990272,2097152,1073736,2097152
1788946806,990272,2097152,1073736,2097152
1788946808,990272,2097152,1073736,2097152
1788946810,990272,2097152,1073736,2097152
1788946812,855264,2097152,1066112,2097152
1788946814,990272,2097152,1073736,2097152
1788946816,855264,2097152,1066112,2097152
1788946818,990272,2097152,1073736,2097152
1788946820,990272,2097152,1073736,2097152
1788946822,990272,2097152,1073736,2097152
1788946824,855264,2097152,1066112,2097152
1788946826,990272,2097152,1073736,2097152
1788946828,990272,2097152,1073736,2097152
1788946830,990272,2097152,1073736,2097152
1788946832,855264,2097152,1066112,2097152
1788946834,990272,2097152,1073736,2097152
1788946836,990272,2097152,1073736,2097152
1788946838,990272,2097152,1073736,2097152
1788946840,990272,2097152,1073736,2097152
1788946842,990272,2097152,1073736,2097152
1788946844,990272,2097152,1073736,2097152
1788946846,990272,2097152,1073736,2097152
1788946848,990272,2097152,1073736,2097152
1788946850,990272,2097152,1073736,2097152
1788946853,855264,2097152,1066112,2097152
1788946855,855264,2097152,1066112,2097152
1788946857,990272,2097152,1073736,2097152
1788946859,990272,2097152,1073736,2097152
1788946861,855264,2097152,1066112,2097152
1788946863,855264,2097152,1066112,2097152
1788946865,990272,2097152,1073736,2097152
1788946867,855264,2097152,1066112,2097152
1788946869,990272,2097152,1073736,2097152
1788946871,990272,2097152,1073736,2097152
1788946873,990272,2097152,1073736,2097152
1788946875,855264,2097152,1066112,2097152
1788946877,990272,2097152,1073736,2097152
1788946879,855264,2097152,1066112,2097152
1788946881,990272,2097152,1073736,2097152
1788946883,855264,2097152,1066112,2097152
1788946885,990272,2097152,1073736,2097152
1788946887,990272,2097152,1073736,2097152
1788946889,855264,2097152,1066112,2097152
1788946891,855264,2097152,1066112,2097152
1788946893,855264,2097152,1066112,2097152
1788946895,855264,2097152,1066112,2097152
1788946897,855264,2097152,1066112,2097152
1788946899,990272,2097152,1073736,2097152
1788946901,855264,2097152,1066112,2097152
1788946903,855264,2097152,1066112,2097152
1788946905,990272,2097152,1073736,2097152
1788946907,990272,2097152,1073736,2097152
1788946910,855264,2097152,1066112,2097152
1788946912,990272,2097152,1073736,2097152
1788946914,990272,2097152,1073736,2097152
1788946916,990272,2097152,1073736,2097152
1788946918,855264,2097152,1066112,2097152
1788946920,990272,2097152,1073736,2097152
1788946922,990272,2097152,1073736,2097152
1788946924,990272,2097152,1073736,2097152
1788946926,855264,2097152,1066112,2097152
1788946928,855264,2097152,1066112,2097152
1788946930,990272,2097152,1073736,2097152
1788946932,855264,2097152,1066112,2097152
1788946934,855264,2097152,1066112,2097152
1788946936,855264,2097152,1066112,2097152
1788946938,855264,2097152,1066112,2097152
1788946940,855264,2097152,1066112,2097152
1788946942,990272,2097152,1073736,2097152
1788946944,990272,2097152,1073736,2097152
1788946946,855264,2097152,1066112,2097152
1788946948,990272,2097152,1073736,2097152
1788946950,855264,2097152,1066112,2097152
1788946952,855264,2097152,1066112,2097152
1788946954,855264,2097152,1066112,2097152
1788946956,855264,2097152,1066112,2097152
1788946958,855264,2097152,1066112,2097152
1788946960,990272,2097152,1073736,2097152
1788946962,990272,2097152,1073736,2097152
1788946964,990272,2097152,1073736,2097152
1788946966,990272,2097152,1073736,2097152
1788946968,990272,2097152,1073736,2097152
1788946971,990272,2097152,1073736,2097152
1788946973,990272,2097152,1073736,2097152
1788946975,855264,2097152,1066112,2097152
1788946977,990272,2097152,1073736,2097152
1788946979,990272,2097152,1073736,2097152
1788946981,855264,2097152,1066112,2097152
1788946983,855264,2097152,1066112,2097152
1788946985,990272,2097152,1073736,2097152
1788946987,990272,2097152,1073736,2097152
1788946989,990272,2097152,1073736,2097152
1788946991,855264,2097152,1066112,2097152
1788946993,855264,2097152,1066112,2097152
1788946995,990272,2097152,1073736,2097152
1788946997,855264,2097152,1066112,2097152
1788946999,855264,2097152,1066112,2097152
1788947001,990272,2097152,1073736,2097152
1788947003,855264,2097152,1066112,2097152
1788947005,990272,2097152,1073736,2097152
1788947007,990272,2097152,1073736,2097152
1788947009,990272,2097152,1073736,2097152
1788947011,990272,2097152,1073736,2097152
1788947013,855264,2097152,1066112,2097152
1788947015,990272,2097152,1073736,2097152
