epoch;gateway_mib;fpm_mib
1788916696;137.9;36.03
1788916715;137.8;39.98
1788916734;138;40.28
1788916752;138.4;40.75
1788916770;138.6;40.73
1788916788;138.3;40.7
1788916806;138.4;39.99
1788916825;138.4;40.73
1788916844;137.9;40.61
1788916862;138.4;40.37
1788916880;138.1;40.7
1788916898;138.1;40.67
1788916916;139;40.75
1788916935;138.8;40.5
1788916954;138.7;40.59
1788916972;138.3;40.97
1788916990;138.5;40.7
1788917008;138.6;40.63
1788917026;138.5;41.12
1788917045;138;40.77
1788917064;137.8;41.24
1788917082;138.7;40.95
1788917100;138.7;40.27
1788917118;138.5;40.27
1788917136;138.8;41.13
1788917155;138.4;39.81
1788917174;138.5;40.09
1788917192;138.4;40.8
1788917210;138;40.71
1788917228;138.2;40.26
1788917246;138.8;40.38
1788917265;138.6;41.13
1788917284;138.1;40.61
1788917302;138.4;40.7
1788917320;138.1;40.11
1788917338;138.2;40.89
1788917356;138.1;40.6
1788917375;138.4;40.74
1788917394;144.2;40.3
1788917412;138.9;40.41
1788917430;138.1;40.28
1788917448;138.2;40.44
1788917466;138.3;40.57
1788917485;138.1;40.38
1788917504;137.8;40.61
1788917522;138.3;40.98
1788917540;138.2;40.72
1788917558;138.6;40.97
1788917576;138.5;40.95
1788917595;137.8;40.58
1788917614;138.1;40.78
1788917632;138;40.68
1788917650;138.1;40.5
1788917668;138;40.58
1788917686;137.9;41.25
1788917705;138.1;40.95
1788917724;138.5;40.41
1788917742;138;40.91
1788917760;138.3;41.02
1788917778;138.5;39.99
1788917796;138.4;39.92
1788917815;138.5;40.85
1788917834;137.4;40.53
1788917852;138.6;40.59
1788917870;137.6;40.99
1788917888;144.8;40.72
1788917906;138.3;40.79
1788917925;138.5;40.37
1788917944;138.5;40.93
1788917962;138;40.69
1788917980;138.4;40.71
1788917998;139;40.34
1788918016;138.5;40.48
1788918035;137.9;40.73
1788918054;138.6;40.27
1788918072;138.5;40.44
1788918090;138.1;40.76
1788918108;138.6;40.79
1788918126;138.4;40.64
1788918145;137.9;40.1
1788918164;138.5;40.6
1788918182;138.2;41.07
1788918200;138.2;40.75
1788918218;137.8;40.94
1788918236;138.3;40.47
1788918255;137.8;40.5
1788918274;138.1;40.97
1788918292;138.4;41.05
1788918310;138.1;39.91
1788918328;137.9;40.02
1788918346;139;40.79
1788918365;138.5;40.64
1788918384;137.7;40.01
1788918402;137.8;40.68
1788918420;138.3;40.41
1788918438;138.5;40.13
1788918456;138.8;40.48
1788918475;138;40.55
1788918494;137.9;41.14
1788918512;138.3;40.48
1788918530;137.9;40.68
1788918548;137.8;40.27
1788918566;138.3;41.01
1788918585;138;40.3
1788918604;137.6;40.94
1788918622;138.3;40.44
1788918640;138.8;40.12
1788918658;138.6;40.22
1788918676;137.9;40.9
1788918695;138.5;39.84
