epoch;gateway_mib;fpm_mib
1788905357;138.1;40.89
1788905375;138.5;39.99
1788905394;138;40.76
1788905413;138;40.86
1788905432;138.2;40.85
1788905450;138.7;40.61
1788905469;138.3;39.93
1788905487;137.7;40.41
1788905505;137.7;40.18
1788905523;138.2;40.98
1788905542;138.5;40.86
1788905560;138.3;40.6
1788905579;138.4;41.03
1788905597;137.7;40.83
1788905615;138.4;40.71
1788905633;138.5;40.91
1788905652;138.5;40.68
1788905671;138.2;40.97
1788905689;138.3;40.91
1788905707;138.4;40.25
1788905725;139;40.34
1788905743;138.5;40.77
1788905762;138.6;40.77
1788905780;137.9;40.1
1788905799;138;40.43
1788905817;138.2;39.51
1788905835;138;40.53
1788905853;137.6;40.75
1788905872;138.2;40.59
1788905890;138.9;40.53
1788905909;138.4;40.73
1788905927;138.3;40.89
1788905945;138.6;40.78
1788905963;138.6;40.28
1788905982;138.5;40.96
1788906000;138.8;40.25
1788906019;138.6;40.88
1788906037;138.3;40.06
1788906055;138.7;40.04
1788906073;138.1;40.75
1788906092;138.8;40.61
1788906110;138.2;40.57
1788906129;138.4;40.05
1788906147;137.9;40.48
1788906165;138.2;40.28
1788906183;138.3;40.41
1788906202;138.2;40.94
1788906220;138.1;40.36
1788906239;138.1;40.71
1788906257;138.1;40.73
1788906275;138;40.57
1788906293;137.5;40.24
1788906312;137.9;41.19
1788906330;137.8;39.77
1788906349;138.4;40.5
1788906367;138.3;40.6
1788906385;138.2;40.5
1788906403;137.9;40.84
1788906422;137.8;40.84
1788906440;138.1;41.02
1788906459;137.9;40.34
1788906477;138.4;40.95
1788906495;138.1;40.79
1788906513;138.2;40.54
1788906532;137.8;40.39
1788906550;138;41.17
1788906569;138.2;40.66
1788906587;137.8;40.92
1788906605;138.1;40.57
1788906623;138.1;40.44
1788906642;138.3;40.48
1788906660;139.3;40.6
1788906679;137.7;40.84
1788906697;138.1;40.66
1788906715;138.1;40.73
1788906733;138.7;40.46
1788906752;138.5;40.4
1788906770;138.2;40.95
1788906789;138.5;40.76
1788906807;138.3;40.68
1788906825;138.6;40.65
1788906843;138.4;40.74
1788906862;138.5;40.76
1788906881;138.2;40.71
1788906899;138.3;39.96
1788906917;138.5;40.85
1788906935;138.8;40.32
1788906953;138;40.88
1788906972;138.2;40.85
1788906991;139;40.48
1788907009;138.5;40.59
1788907027;138.8;40.17
1788907045;138.4;40.16
1788907063;137.8;41.18
1788907082;138.8;41
1788907101;138.1;40.63
1788907119;138.5;40.88
1788907137;138.4;40.54
1788907155;138.4;39.63
