epoch;container;mem;cpu
1788903109;ecoshield-gateway;104.7MiB / 13.64GiB;0.12%
1788903109;ecoshield-legacy-fpm;27.98MiB / 13.64GiB;63.35%
1788903109;ecoshield-legacy-nginx;12.45MiB / 13.64GiB;9.05%
1788903109;ecoshield-redis;8.801MiB / 13.64GiB;0.82%
1788903113;ecoshield-gateway;104.2MiB / 13.64GiB;0.00%
1788903113;ecoshield-legacy-fpm;32.73MiB / 13.64GiB;79.74%
1788903113;ecoshield-legacy-nginx;13.07MiB / 13.64GiB;16.96%
1788903113;ecoshield-redis;9.145MiB / 13.64GiB;4.24%
1788903117;ecoshield-gateway;104.2MiB / 13.64GiB;0.00%
1788903117;ecoshield-legacy-fpm;32.69MiB / 13.64GiB;91.04%
1788903117;ecoshield-legacy-nginx;12.9MiB / 13.64GiB;19.38%
1788903117;ecoshield-redis;8.656MiB / 13.64GiB;0.63%
1788903121;ecoshield-gateway;104.4MiB / 13.64GiB;0.00%
1788903121;ecoshield-legacy-fpm;32.26MiB / 13.64GiB;95.17%
1788903121;ecoshield-legacy-nginx;13.19MiB / 13.64GiB;18.88%
1788903121;ecoshield-redis;9.301MiB / 13.64GiB;0.71%
1788903125;ecoshield-gateway;104.2MiB / 13.64GiB;0.00%
1788903125;ecoshield-legacy-fpm;32.1MiB / 13.64GiB;80.89%
1788903125;ecoshield-legacy-nginx;12.71MiB / 13.64GiB;19.83%
1788903125;ecoshield-redis;9.586MiB / 13.64GiB;0.65%
1788903129;ecoshield-gateway;104.4MiB / 13.64GiB;4.78%
1788903129;ecoshield-legacy-fpm;32.05MiB / 13.64GiB;83.22%
1788903129;ecoshield-legacy-nginx;12.64MiB / 13.64GiB;17.37%
1788903129;ecoshield-redis;8.801MiB / 13.64GiB;0.57%
1788903133;ecoshield-gateway;104.2MiB / 13.64GiB;0.00%
1788903133;ecoshield-legacy-fpm;32.59MiB / 13.64GiB;90.89%
1788903133;ecoshield-legacy-nginx;12.98MiB / 13.64GiB;19.35%
1788903133;ecoshield-redis;9.395MiB / 13.64GiB;6.02%
1788903137;ecoshield-gateway;104.2MiB / 13.64GiB;0.00%
1788903137;ecoshield-legacy-fpm;32.32MiB / 13.64GiB;92.78%
1788903137;ecoshield-legacy-nginx;12.65MiB / 13.64GiB;20.04%
1788903137;ecoshield-redis;9.289MiB / 13.64GiB;0.66%
1788903141;ecoshield-gateway;104.5MiB / 13.64GiB;0.00%
1788903141;ecoshield-legacy-fpm;22.7MiB / 13.64GiB;0.01%
1788903141;ecoshield-legacy-nginx;11.73MiB / 13.64GiB;0.00%
1788903141;ecoshield-redis;8.797MiB / 13.64GiB;0.78%
1788903145;ecoshield-gateway;111.9MiB / 13.64GiB;60.52%
1788903145;ecoshield-legacy-fpm;32.19MiB / 13.64GiB;54.27%
1788903145;ecoshield-legacy-nginx;12.67MiB / 13.64GiB;13.91%
1788903145;ecoshield-redis;9.984MiB / 13.64GiB;4.78%
1788903149;ecoshield-gateway;112.1MiB / 13.64GiB;60.84%
1788903149;ecoshield-legacy-fpm;31.68MiB / 13.64GiB;53.42%
1788903149;ecoshield-legacy-nginx;12.77MiB / 13.64GiB;13.89%
1788903149;ecoshield-redis;11.3MiB / 13.64GiB;4.94%
1788903153;ecoshield-gateway;114MiB / 13.64GiB;61.29%
1788903153;ecoshield-legacy-fpm;31.18MiB / 13.64GiB;55.94%
1788903153;ecoshield-legacy-nginx;12.31MiB / 13.64GiB;13.90%
1788903153;ecoshield-redis;10.57MiB / 13.64GiB;8.45%
1788903157;ecoshield-gateway;114.7MiB / 13.64GiB;61.38%
1788903157;ecoshield-legacy-fpm;26.91MiB / 13.64GiB;55.60%
1788903157;ecoshield-legacy-nginx;12.45MiB / 13.64GiB;13.46%
1788903157;ecoshield-redis;11.81MiB / 13.64GiB;4.60%
1788903161;ecoshield-gateway;114.5MiB / 13.64GiB;61.52%
1788903161;ecoshield-legacy-fpm;32MiB / 13.64GiB;54.94%
1788903161;ecoshield-legacy-nginx;12.25MiB / 13.64GiB;13.77%
1788903161;ecoshield-redis;12.47MiB / 13.64GiB;5.18%
1788903165;ecoshield-gateway;114.8MiB / 13.64GiB;61.28%
1788903165;ecoshield-legacy-fpm;31.88MiB / 13.64GiB;52.41%
1788903165;ecoshield-legacy-nginx;12.45MiB / 13.64GiB;15.39%
1788903165;ecoshield-redis;13.25MiB / 13.64GiB;4.53%
1788903169;ecoshield-gateway;114.2MiB / 13.64GiB;62.18%
1788903169;ecoshield-legacy-fpm;32.31MiB / 13.64GiB;55.26%
1788903169;ecoshield-legacy-nginx;13MiB / 13.64GiB;16.21%
1788903169;ecoshield-redis;11.91MiB / 13.64GiB;4.50%
1788903173;ecoshield-gateway;113.3MiB / 13.64GiB;31.66%
1788903173;ecoshield-legacy-fpm;23.26MiB / 13.64GiB;29.92%
1788903173;ecoshield-legacy-nginx;11.58MiB / 13.64GiB;8.29%
1788903173;ecoshield-redis;12.88MiB / 13.64GiB;6.87%
1788903177;ecoshield-gateway;113.2MiB / 13.64GiB;0.00%
1788903177;ecoshield-legacy-fpm;23.07MiB / 13.64GiB;0.01%
1788903177;ecoshield-legacy-nginx;11.36MiB / 13.64GiB;0.00%
1788903177;ecoshield-redis;12.54MiB / 13.64GiB;0.79%
1788903181;ecoshield-gateway;112.6MiB / 13.64GiB;575.38%
1788903181;ecoshield-legacy-fpm;21.86MiB / 13.64GiB;0.00%
1788903181;ecoshield-legacy-nginx;10.75MiB / 13.64GiB;0.00%
1788903181;ecoshield-redis;14.03MiB / 13.64GiB;7.43%
1788903185;ecoshield-gateway;110.8MiB / 13.64GiB;521.29%
1788903185;ecoshield-legacy-fpm;21.86MiB / 13.64GiB;0.00%
1788903185;ecoshield-legacy-nginx;10.5MiB / 13.64GiB;0.00%
1788903185;ecoshield-redis;13.06MiB / 13.64GiB;6.85%
1788903188;ecoshield-gateway;110.8MiB / 13.64GiB;544.44%
1788903188;ecoshield-legacy-fpm;21.86MiB / 13.64GiB;0.00%
1788903188;ecoshield-legacy-nginx;10.5MiB / 13.64GiB;0.00%
1788903188;ecoshield-redis;13.18MiB / 13.64GiB;6.97%
1788903193;ecoshield-gateway;113.5MiB / 13.64GiB;526.94%
1788903193;ecoshield-legacy-fpm;21.86MiB / 13.64GiB;0.00%
1788903193;ecoshield-legacy-nginx;10.5MiB / 13.64GiB;0.00%
1788903193;ecoshield-redis;13.46MiB / 13.64GiB;7.65%
1788903197;ecoshield-gateway;113.1MiB / 13.64GiB;552.13%
1788903197;ecoshield-legacy-fpm;21.86MiB / 13.64GiB;0.01%
1788903197;ecoshield-legacy-nginx;10.5MiB / 13.64GiB;0.00%
1788903197;ecoshield-redis;12.29MiB / 13.64GiB;6.83%
1788903201;ecoshield-gateway;111.1MiB / 13.64GiB;551.58%
1788903201;ecoshield-legacy-fpm;21.86MiB / 13.64GiB;0.01%
1788903201;ecoshield-legacy-nginx;10.75MiB / 13.64GiB;0.00%
1788903201;ecoshield-redis;12.28MiB / 13.64GiB;7.10%
1788903205;ecoshield-gateway;111.3MiB / 13.64GiB;464.49%
1788903205;ecoshield-legacy-fpm;21.86MiB / 13.64GiB;0.01%
1788903205;ecoshield-legacy-nginx;10.42MiB / 13.64GiB;0.00%
1788903205;ecoshield-redis;11.78MiB / 13.64GiB;7.64%
1788903209;ecoshield-gateway;111.5MiB / 13.64GiB;239.79%
1788903209;ecoshield-legacy-fpm;21.86MiB / 13.64GiB;0.01%
1788903209;ecoshield-legacy-nginx;10.42MiB / 13.64GiB;0.00%
1788903209;ecoshield-redis;9.762MiB / 13.64GiB;0.81%
1788903213;ecoshield-gateway;111.3MiB / 13.64GiB;275.06%
1788903213;ecoshield-legacy-fpm;21.86MiB / 13.64GiB;0.00%
1788903213;ecoshield-legacy-nginx;10.42MiB / 13.64GiB;0.00%
1788903213;ecoshield-redis;9.754MiB / 13.64GiB;0.88%
1788903217;ecoshield-gateway;111.6MiB / 13.64GiB;581.14%
1788903217;ecoshield-legacy-fpm;21.86MiB / 13.64GiB;0.00%
1788903217;ecoshield-legacy-nginx;10.42MiB / 13.64GiB;0.00%
1788903217;ecoshield-redis;10.54MiB / 13.64GiB;1.20%
1788903221;ecoshield-gateway;111.5MiB / 13.64GiB;509.23%
